generation,total_predators,total_energy,avg_speed,avg_size,avg_reproduction_threshold,total_speed,total_size,total_reproduction_threshold,avg_energy
185,1,14.820945,1.5,1,0,1.5,1,0,14.820945
186,1,14.670945,1.5,1,0,1.5,1,0,14.670945
187,1,14.520946,1.5,1,0,1.5,1,0,14.520946
188,1,14.370946,1.5,1,0,1.5,1,0,14.370946
189,1,14.220946,1.5,1,0,1.5,1,0,14.220946
190,1,14.070947,1.5,1,0,1.5,1,0,14.070947
191,1,15.605909,1.5,1,0,1.5,1,0,15.605909
192,1,15.45591,1.5,1,0,1.5,1,0,15.45591
193,1,15.30591,1.5,1,0,1.5,1,0,15.30591
194,1,15.1559105,1.5,1,0,1.5,1,0,15.1559105
195,1,15.005911,1.5,1,0,1.5,1,0,15.005911
196,1,14.855911,1.5,1,0,1.5,1,0,14.855911
197,1,14.705912,1.5,1,0,1.5,1,0,14.705912
198,1,14.555912,1.5,1,0,1.5,1,0,14.555912
199,1,14.405912,1.5,1,0,1.5,1,0,14.405912
200,1,14.255913,1.5,1,0,1.5,1,0,14.255913
201,1,14.105913,1.5,1,0,1.5,1,0,14.105913
202,1,15.736282,1.5,1,0,1.5,1,0,15.736282
203,1,15.586283,1.5,1,0,1.5,1,0,15.586283
204,1,15.436283,1.5,1,0,1.5,1,0,15.436283
205,1,15.2862835,1.5,1,0,1.5,1,0,15.2862835
206,1,15.136284,1.5,1,0,1.5,1,0,15.136284
207,1,14.986284,1.5,1,0,1.5,1,0,14.986284
208,1,14.836285,1.5,1,0,1.5,1,0,14.836285
209,1,14.686285,1.5,1,0,1.5,1,0,14.686285
210,1,14.536285,1.5,1,0,1.5,1,0,14.536285
211,1,14.386286,1.5,1,0,1.5,1,0,14.386286
212,1,14.236286,1.5,1,0,1.5,1,0,14.236286
213,1,14.086287,1.5,1,0,1.5,1,0,14.086287
214,1,13.936287,1.5,1,0,1.5,1,0,13.936287
215,1,13.786287,1.5,1,0,1.5,1,0,13.786287
216,1,13.636288,1.5,1,0,1.5,1,0,13.636288
217,1,13.486288,1.5,1,0,1.5,1,0,13.486288
218,1,15.096811,1.5,1,0,1.5,1,0,15.096811
219,1,14.946812,1.5,1,0,1.5,1,0,14.946812
220,1,14.796812,1.5,1,0,1.5,1,0,14.796812
221,1,14.646812,1.5,1,0,1.5,1,0,14.646812
222,1,14.496813,1.5,1,0,1.5,1,0,14.496813
223,1,14.346813,1.5,1,0,1.5,1,0,14.346813
224,1,14.196814,1.5,1,0,1.5,1,0,14.196814
225,1,14.046814,1.5,1,0,1.5,1,0,14.046814
226,1,13.896814,1.5,1,0,1.5,1,0,13.896814
227,1,15.828665,1.5,1,0,1.5,1,0,15.828665
228,1,15.678665,1.5,1,0,1.5,1,0,15.678665
229,1,15.528666,1.5,1,0,1.5,1,0,15.528666
230,1,15.378666,1.5,1,0,1.5,1,0,15.378666
231,1,15.228666,1.5,1,0,1.5,1,0,15.228666
232,1,15.078667,1.5,1,0,1.5,1,0,15.078667
233,1,14.928667,1.5,1,0,1.5,1,0,14.928667
