generation,total_organisms,total_energy,avg_speed,avg_size,avg_reproduction_threshold,total_speed,total_size,total_reproduction_threshold,avg_energy
251,75344,224010.56,0.29920283,1.6280719,4.571225,22543.139,122665.45,344414.38,2.9731705
252,75723,225181.6,0.2949191,1.6306372,4.572343,22332.158,123476.734,346231.53,2.9737542
253,75844,226392.5,0.29070026,1.6335925,4.5741835,22047.871,123898.19,346924.38,2.9849758
254,75921,227539.13,0.28690162,1.6364717,4.5774064,21781.857,124242.57,347521.28,2.9970512
255,76040,228913.27,0.2825035,1.6397452,4.579134,21481.564,124686.23,348197.34,3.0104322
256,76195,230195.31,0.27863002,1.6424478,4.580571,21230.215,125146.31,349016.63,3.0211341
257,76337,231172.8,0.27486876,1.6450158,4.5822434,20982.656,125575.57,349794.72,3.0283191
258,76421,232792.06,0.27111155,1.6476687,4.5861416,20718.615,125916.49,350477.53,3.0461793
259,76725,233871.97,0.2674249,1.6499896,4.5878043,20518.176,126595.45,351999.28,3.0481846
260,76789,235278.75,0.26393402,1.6525159,4.591192,20267.229,126895.05,352553.03,3.0639641
261,77001,236553.6,0.25964114,1.6555339,4.5941167,19992.627,127477.766,353751.56,3.0720847
262,77170,237607.95,0.2561072,1.6579233,4.5973196,19763.793,127941.945,354775.16,3.0790198
263,77271,238427.95,0.25328797,1.659702,4.600542,19571.814,128246.83,355488.5,3.0856073
264,77307,239772.64,0.2501913,1.6617311,4.6037946,19341.54,128463.445,355905.53,3.1015644
265,77486,240979.53,0.24713606,1.6633743,4.607556,19149.584,128888.22,357021.06,3.109975
266,77618,242042.75,0.24380232,1.6656946,4.610876,18923.45,129287.88,357886.97,3.1183844
267,77729,242902.75,0.24032046,1.6675459,4.6137013,18679.87,129616.68,358618.4,3.1249952
268,77683,243713.17,0.23750485,1.6693174,4.618004,18450.09,129677.58,358740.38,3.137278
269,77753,244910.95,0.23451672,1.6713064,4.623534,18234.379,129949.086,359493.66,3.1498585
270,77953,245347.45,0.23228657,1.672426,4.628647,18107.436,130370.625,360816.9,3.1473768
271,77908,246137.17,0.22925225,1.6742826,4.6341395,17860.584,130440.01,361036.53,3.159331
272,77910,247181.58,0.22715282,1.6755298,4.6379623,17697.477,130540.53,361343.66,3.1726553
273,78017,247894.08,0.22500788,1.6766816,4.6424417,17554.44,130809.67,362189.38,3.1774366
274,78024,248276.47,0.22238906,1.6787698,4.6470885,17351.684,130984.336,362584.44,3.1820526
275,77857,248573.67,0.219938,1.6803561,4.6531653,17123.713,130827.49,362281.5,3.1926951
276,77674,249379.31,0.218353,1.6816456,4.6597424,16960.352,130620.14,361940.8,3.2105894
277,77676,249863.52,0.21595001,1.6829276,4.6639276,16774.133,130723.086,362275.22,3.2167401
278,77542,250364.98,0.21330953,1.684255,4.669508,16540.447,130600.5,362083,3.2287662
279,77450,250546.7,0.21100761,1.6848118,4.675619,16342.539,130488.68,362126.7,3.2349477
280,77320,251106.4,0.20899479,1.6856366,4.6807394,16159.478,130333.42,361914.78,3.2476256
281,77340,251150.86,0.2071798,1.6866572,4.6861777,16023.285,130446.06,362428.97,3.2473605
282,77236,251324.88,0.20412576,1.6879895,4.693116,15765.857,130373.555,362477.53,3.2539861
283,77076,251420.9,0.20225945,1.6892754,4.69953,15589.35,130202.586,362221,3.261987
284,76820,251239.1,0.20024979,1.6901067,4.7052503,15383.189,129834,361457.3,3.2704906
285,76580,251274.25,0.19850539,1.6910619,4.711111,15201.543,129501.516,360776.88,3.2811995
286,76434,251503.8,0.19602753,1.6917902,4.7169333,14983.168,129310.3,360534.06,3.2904701
